DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 06-Nov-2024,-10.000000,1,,,,,24,,3,10,10,10,10,10,10,10,3,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 14-Nov-2024,-10.000000,2,,,,,24,,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 17-Nov-2024,-10.000000,2,,,,,24,,3,3,3,10,10,10,10,3,3,10,3,3,3,3,3,3,10,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 18-Nov-2024,-10.000000,2,,,,,24,,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 19-Nov-2024,-10.000000,1,,,,,24,,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 20-Nov-2024,-10.000000,4,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 22-Nov-2024,-11.000000,1,,,,,24,,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 23-Nov-2024,-11.000000,4,,,,,24,,3,3,3,10,3,3,10,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 24-Nov-2024,-11.000000,6,,,,,24,,10,10,10,10,10,3,3,3,3,10,10,3,3,3,3,10,10,3,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 25-Nov-2024,-11.000000,1,,,,,24,,40,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,3,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 26-Nov-2024,-11.000000,1,,,,,24,,10,10,10,10,60,100,100,98,100,100,100,30,50,100,100,100,100,90,10,10,10,10,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 27-Nov-2024,-11.000000,2,,,,,24,,20,10,10,10,10,10,20,100,100,100,100,100,100,100,90,20,10,10,10,10,10,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 28-Nov-2024,-11.000000,2,,,,,24,,10,10,50,98,100,100,100,100,100,100,100,100,100,100,100,98,10,10,10,10,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 29-Nov-2024,-11.000000,4,,,,,24,,10,10,10,20,30,70,60,3,10,20,30,100,100,100,100,100,100,100,98,10,3,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 30-Nov-2024,-11.000000,4,,,,,24,,10,10,10,3,3,10,3,10,10,10,10,10,10,10,10,3,10,10,90,30,3,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 01-Dec-2024,-11.000000,2,,,,,24,,10,10,30,100,100,100,100,100,100,100,100,100,50,30,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 02-Dec-2024,-11.000000,5,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
