Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
HF2024_1006_22U3194,07-May-2024,03:23:23,1,14979365.000000,,,0,4,,,,,,,,,,,,,,,,15,32,23274,,,,2,3927,,,,10,7837,,,,21,20598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,07-May-2024,04:08:09,4,12910643.000000,,,0,4,,,,,,,,,,,,,,,,15,32,16036,,,,2,18288,,,,3,16849,,,,21,25385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,07-May-2024,16:43:13,1,1.000000,,,0,5,61.16149,-177.22595,16:43:13 07-May-2024,Interpolated,61.16952,-177.20177,,,,,1.0,0.3,,,,15,19,22368,,,,24,16564,,,,12,9708,,,,17,31624,,,,25,15028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,07-May-2024,18:27:07,1,1.000000,,,0,4,61.17446,-177.21597,18:27:07 07-May-2024,Interpolated,61.17524,-177.21120,,,,,7.8,0.1,,,,15,29,29460,,,,32,5554,,,,25,23921,,,,12,24170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,07-May-2024,19:01:05,3,1.000000,,,0,8,61.15889,-177.29819,19:01:05 07-May-2024,Interpolated,61.17608,-177.22062,,1,,,11.5,0.1,,,,15,29,14539,,,,32,1509,,,,31,11943,,,,28,22617,,,,25,11176,,,,12,2473,,,,11,28102,,,,1,7775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,02:02:47,1,1.000000,,,0,8,61.16047,-177.34856,02:02:47 08-May-2024,Interpolated,61.15633,-177.34848,,,,,9.4,0.4,,,,15,23,12786,,,,10,19550,,,,14,22318,,,,22,8122,,,,2,22336,,,,21,32243,,,,8,31622,,,,32,17029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,08:46:00,1,1.000000,,,0,4,61.10670,-177.45901,08:46:00 08-May-2024,Interpolated,61.12221,-177.44195,,,,,0.2,-0.7,,,,15,4,12064,,,,16,18841,,,,9,25510,,,,26,25113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,15:18:10,1,1.000000,,,0,7,61.08314,-177.51348,15:18:10 08-May-2024,Interpolated,61.05834,-177.56617,,,,,8.6,-0.9,,,,15,10,21202,,,,23,17272,,,,24,23856,,,,12,2841,,,,32,1518,,,,15,3707,,,,19,3462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,17:15:44,1,1.000000,,,0,5,61.04258,-177.46421,17:15:44 08-May-2024,Interpolated,61.06516,-177.54845,,,,,2.7,0.0,,,,15,12,32042,,,,32,9013,,,,25,24993,,,,28,18855,,,,24,25746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,18:59:47,2,1.000000,,,0,8,61.07047,-177.55928,18:59:47 08-May-2024,Interpolated,61.06271,-177.55932,,,,,13.3,-0.2,,,,15,28,32556,,,,31,28112,,,,29,30950,,,,25,11964,,,,12,29804,,,,4,5515,,,,11,686,,,,3,24833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,19:33:27,5,1.000000,,,0,6,61.06173,-177.56626,19:33:27 08-May-2024,Interpolated,61.06095,-177.56400,,1,,,6.1,-0.7,,,,15,29,28395,,,,28,15010,,,,1,25044,,,,26,25152,,,,31,29990,,,,25,8271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,21:10:20,3,1.000000,,,0,8,61.07005,-177.59919,21:10:20 08-May-2024,Interpolated,61.05889,-177.58623,,1,,,5.9,-0.9,,,,15,1,20044,,,,16,19273,,,,26,2934,,,,31,2677,,,,4,18732,,,,9,4309,,,,28,29278,,,,29,15461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,23:00:02,2,1.000000,,,0,8,61.06171,-177.62284,23:00:02 08-May-2024,Interpolated,61.06118,-177.62349,,1,,,7.2,-1.4,,,,15,5,80,,,,7,17451,,,,18,31860,,,,27,16418,,,,15,10910,,,,29,25291,,,,1,4308,,,,26,9673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,09-May-2024,00:50:41,1,1.000000,,,0,8,61.06908,-177.63628,00:50:41 09-May-2024,Interpolated,61.06423,-177.64708,,,,,11.4,-0.7,,,,15,8,19800,,,,10,6748,,,,30,15264,,,,27,27373,,,,15,3660,,,,23,6743,,,,7,30248,,,,18,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,09-May-2024,02:42:36,1,1.000000,,,0,8,61.10032,-177.66590,02:42:36 09-May-2024,Interpolated,61.08139,-177.66635,,,,,2.9,-0.6,,,,15,22,25883,,,,24,8183,,,,10,16275,,,,23,14542,,,,14,16664,,,,32,6851,,,,2,25694,,,,21,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,09-May-2024,18:30:15,4,1.000000,,,0,7,61.15264,-177.72711,18:30:15 09-May-2024,Interpolated,61.17468,-177.70929,,,,,4.1,-1.0,,,,15,31,22607,,,,25,32448,,,,28,16465,,,,6,30842,,,,3,8992,,,,12,4861,,,,11,29754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,09-May-2024,20:29:39,1,1.000000,,,0,7,61.15258,-177.77401,20:29:39 09-May-2024,Interpolated,61.16260,-177.73616,,1,,,16.1,-0.4,,,,15,29,11271,,,,1,9222,,,,18,29550,,,,31,11964,,,,26,152,,,,25,32161,,,,28,7940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,09-May-2024,23:00:01,2,1.000000,,,0,8,61.16240,-177.79329,23:00:01 09-May-2024,Interpolated,61.16206,-177.79748,,1,,,5.2,0.3,,,,15,18,11355,,,,27,15078,,,,1,5280,,,,26,13037,,,,23,21964,,,,16,21533,,,,10,12280,,,,7,15155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,06:48:00,2,1.000000,,,0,6,61.15564,-177.92908,06:48:00 10-May-2024,Interpolated,61.22052,-178.04035,,,,,5.4,-1.2,,,,15,4,5258,,,,3,15570,,,,6,20669,,,,19,3423,,,,9,16222,,,,31,32337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,08:47:22,1,1.000000,,,0,4,61.21894,-178.03715,08:47:22 10-May-2024,Interpolated,61.22656,-178.03248,,,,,0.3,-1.3,,,,15,9,28835,,,,7,4042,,,,20,17670,,,,6,15567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,10:45:19,2,1.000000,,,0,6,61.19613,-178.07100,10:45:19 10-May-2024,Interpolated,61.21738,-178.03399,,,,,3.2,-0.9,,,,15,5,16074,,,,13,10099,,,,20,18049,,,,30,29152,,,,7,16876,,,,11,14723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,18:59:28,1,1.000000,,,0,6,61.14695,-178.12663,18:59:28 10-May-2024,Interpolated,61.14534,-178.13466,,,,,3.3,-1.1,,,,15,12,5316,,,,25,2814,,,,29,29949,,,,11,7526,,,,28,15080,,,,32,9011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,20:44:04,4,1.000000,,,0,8,61.15097,-178.16322,20:44:04 10-May-2024,Interpolated,61.14559,-178.15531,,1,,,12.6,-1.1,,,,15,26,2404,,,,31,8024,,,,1,31878,,,,16,1339,,,,29,10102,,,,4,10427,,,,28,30846,,,,18,3909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,10-May-2024,22:43:40,4,1.000000,,,0,5,61.14934,-178.19538,22:43:40 10-May-2024,Interpolated,61.14441,-178.19447,,1,,,13.3,-0.4,,,,15,18,19531,,,,5,4068,,,,29,3989,,,,1,15558,,,,7,10336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,00:35:10,2,1.000000,,,0,8,61.13765,-178.23015,00:35:10 11-May-2024,Interpolated,61.13773,-178.23265,,,,,6.1,0.0,,,,15,21,31601,,,,27,7146,,,,10,22650,,,,8,11286,,,,2,20442,,,,15,13463,,,,7,17588,,,,16,16239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,03:00:01,1,1.000000,,,0,7,61.12609,-178.28580,03:00:01 11-May-2024,Interpolated,61.12491,-178.28625,,,,,9.1,0.3,,,,15,3,7875,,,,2,28500,,,,14,12317,,,,8,14032,,,,21,22842,,,,17,26763,,,,32,9542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,04:00:00,1,1.000000,,,0,2,,,,,,,,,,,,,,,,15,32,584,,,,8,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,04:49:29,2,1.000000,,,0,8,61.11511,-178.34743,04:49:29 11-May-2024,Interpolated,61.11937,-178.32461,,,,,14.4,0.3,,,,15,19,13735,,,,32,25421,,,,17,32364,,,,12,13836,,,,3,6794,,,,2,18541,,,,21,17272,,,,6,14061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,05:51:02,10,1.000000,,,0,6,61.11341,-178.35999,05:51:02 11-May-2024,Interpolated,61.11800,-178.33740,,,,,3.8,-0.1,,,,15,31,22920,,,,3,23996,,,,4,18822,,,,2,20338,,,,28,14780,,,,17,29881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,12:53:22,3,1.000000,,,0,4,,,,,,,,,,,,,,,,15,23,29061,,,,15,2784,,,,5,155,,,,18,29662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,16:42:16,3,1.000000,,,0,7,61.11243,-178.39785,16:42:16 11-May-2024,Interpolated,61.11481,-178.39959,,,,,9.2,-0.5,,,,15,32,31605,,,,12,14224,,,,24,5794,,,,25,25107,,,,28,24188,,,,17,17521,,,,19,2710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,17:03:52,4,1.000000,,,0,7,61.11458,-178.40250,17:03:52 11-May-2024,Interpolated,61.11241,-178.39910,,,,,5.0,-0.8,,,,15,12,6405,,,,25,3746,,,,24,28698,,,,32,20105,,,,19,22212,,,,6,16587,,,,3,6236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,19:57:40,3,1.000000,,,0,8,61.10836,-178.40416,19:57:40 11-May-2024,Interpolated,61.10412,-178.40081,,1,,,17.2,-1.4,,,,15,25,25230,,,,20,14442,,,,28,8633,,,,29,15388,,,,11,28998,,,,12,17957,,,,31,22406,,,,1,11969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,21:00:01,2,1.000000,,,0,8,61.10843,-178.41043,21:00:01 11-May-2024,Interpolated,61.10498,-178.40613,,1,,,5.3,0.3,,,,15,18,13838,,,,5,13779,,,,1,12457,,,,29,31130,,,,28,11922,,,,26,30745,,,,31,23072,,,,25,5221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,11-May-2024,22:56:52,1,1.000000,,,0,8,61.11037,-178.43252,22:56:52 11-May-2024,Interpolated,61.10611,-178.41764,,1,,,6.9,-0.9,,,,15,7,2487,,,,27,5377,,,,8,21128,,,,1,23752,,,,5,25640,,,,10,9663,,,,30,25052,,,,18,7491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,12-May-2024,00:24:14,1,1.000000,,,0,8,61.10723,-178.43303,00:24:14 12-May-2024,Interpolated,61.10559,-178.43349,,,,,11.4,-0.5,,,,15,21,12744,,,,7,5876,,,,2,31889,,,,8,6831,,,,30,29844,,,,27,23793,,,,16,22116,,,,10,12695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,12-May-2024,07:03:55,1,1.000000,,,0,5,61.09807,-178.58431,07:03:55 12-May-2024,Interpolated,61.09088,-178.52570,,,,,10.2,-0.0,,,,15,6,555,,,,9,18192,,,,19,32144,,,,17,6200,,,,11,20418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,12-May-2024,08:00:20,1,1.000000,,,0,6,61.10576,-178.48953,08:00:20 12-May-2024,Interpolated,61.08926,-178.52675,,1,,,0.7,-1.4,,,,15,4,31765,,,,9,22469,,,,7,6762,,,,26,20649,,,,6,19228,,,,1,2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,12-May-2024,16:30:21,2,1.000000,,,0,6,61.07172,-178.48642,16:30:21 12-May-2024,Interpolated,61.06141,-178.43612,,,,,4.1,-1.3,,,,15,32,11178,,,,25,19720,,,,12,25742,,,,24,23230,,,,19,6754,,,,28,10057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,12-May-2024,20:35:49,3,1.000000,,,0,8,61.04291,-178.47738,20:35:49 12-May-2024,Interpolated,61.03948,-178.47103,,1,,,8.7,-0.0,,,,15,1,21888,,,,16,23751,,,,26,25679,,,,20,20618,,,,4,960,,,,31,32055,,,,5,18932,,,,29,31337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,12-May-2024,21:00:02,3,1.000000,,,0,8,61.07273,-178.52567,21:00:02 12-May-2024,Interpolated,61.03988,-178.47616,,1,,,3.6,-0.4,,,,15,29,5567,,,,1,31256,,,,20,6546,,,,16,22506,,,,5,6594,,,,26,20081,,,,18,13668,,,,9,17395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,12-May-2024,22:58:08,2,1.000000,,,0,8,61.06492,-178.53013,22:58:08 12-May-2024,Interpolated,61.04612,-178.50513,,,,,10.4,-0.4,,,,15,18,31296,,,,27,21278,,,,23,1767,,,,16,22778,,,,5,7026,,,,13,23109,,,,7,15388,,,,15,20859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,13-May-2024,01:00:01,1,1.000000,,,0,8,61.05434,-178.52950,01:00:01 13-May-2024,Interpolated,61.05686,-178.53472,,,,,6.3,-0.4,,,,15,23,8218,,,,10,23934,,,,8,27680,,,,27,15656,,,,21,154,,,,2,9973,,,,7,15874,,,,30,7189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,13-May-2024,05:54:21,1,1.000000,,,0,8,61.08756,-178.56747,05:54:21 13-May-2024,Interpolated,61.08758,-178.56622,,,,,9.4,-0.5,,,,15,19,4922,,,,28,18176,,,,6,17323,,,,3,21414,,,,12,23672,,,,31,22769,,,,4,1238,,,,17,13337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,13-May-2024,11:13:32,1,1.000000,,,0,4,61.09128,-178.53407,11:13:32 13-May-2024,Interpolated,61.11646,-178.51402,,,,,0.5,-0.5,,,,15,30,30275,,,,18,6112,,,,27,2774,,,,14,24395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,13-May-2024,14:31:13,1,1.000000,,,0,6,61.06708,-178.51628,14:31:13 13-May-2024,Interpolated,61.09248,-178.51152,,,,,6.0,-0.1,,,,15,19,12983,,,,13,7948,,,,17,18877,,,,22,3903,,,,21,10018,,,,2,26493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,13-May-2024,16:59:27,4,1.000000,,,0,8,61.02632,-178.48811,16:59:27 13-May-2024,Interpolated,61.06064,-178.50076,,,,,15.9,-0.3,,,,15,32,28648,,,,19,18590,,,,6,32736,,,,12,15280,,,,28,25616,,,,25,23057,,,,24,21580,,,,3,22209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,13-May-2024,18:55:48,2,1.000000,,,0,4,61.03203,-178.47991,18:55:48 13-May-2024,Interpolated,61.03326,-178.47063,,,,,1.7,-0.7,,,,15,31,17914,,,,1,11898,,,,11,31113,,,,28,13973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,13-May-2024,20:47:29,6,1.000000,,,0,8,61.04407,-178.44919,20:47:29 13-May-2024,Interpolated,61.00456,-178.45993,,1,,,3.5,0.4,,,,15,28,1412,,,,18,1943,,,,25,27720,,,,26,28806,,,,1,13672,,,,31,6141,,,,29,10694,,,,5,6327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,13-May-2024,22:33:24,3,1.000000,,,0,4,61.00591,-178.43262,22:33:24 13-May-2024,Interpolated,61.02719,-178.41595,,,,,27.0,-1.2,,,,15,23,25675,,,,29,13775,,,,5,16624,,,,18,4370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,14-May-2024,01:00:01,1,1.000000,,,0,7,61.07555,-178.43078,01:00:01 14-May-2024,Interpolated,61.07409,-178.43283,,,,,3.4,-0.4,,,,15,27,572,,,,10,23677,,,,23,28397,,,,32,18464,,,,16,16746,,,,8,24937,,,,15,14774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,14-May-2024,02:49:24,3,1.000000,,,0,8,61.09298,-178.43889,02:49:24 14-May-2024,Interpolated,61.07853,-178.43556,,,,,16.9,-0.1,,,,15,32,10872,,,,10,19979,,,,21,22150,,,,8,7846,,,,2,30864,,,,17,595,,,,3,16490,,,,22,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,14-May-2024,05:00:01,4,1.000000,,,0,5,61.08940,-178.44587,05:00:01 14-May-2024,Interpolated,61.08968,-178.44681,,,,,10.1,-0.7,,,,15,4,7605,,,,3,13342,,,,2,2804,,,,21,16557,,,,17,7954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,14-May-2024,06:48:10,3,1.000000,,,0,4,61.11871,-178.45253,06:48:10 14-May-2024,Interpolated,61.11032,-178.45283,,,,,6.3,0.2,,,,15,9,20624,,,,6,20788,,,,19,22558,,,,11,17512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,14-May-2024,12:26:52,3,1.000000,,,0,4,61.16593,-178.38815,12:26:52 14-May-2024,Interpolated,61.20362,-178.38148,,,,,0.3,-1.4,,,,15,15,32193,,,,18,24297,,,,8,2783,,,,13,17530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,14-May-2024,15:08:36,8,1.000000,,,0,6,61.16089,-178.25194,15:08:36 14-May-2024,Interpolated,61.15901,-178.25621,,,,,10.2,-1.3,,,,15,12,1139,,,,32,30724,,,,23,31185,,,,15,26115,,,,10,10044,,,,24,16677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
